ticker,name,description,cik,composite_figi,market_cap,weighted_shares_outstanding,share_class_shares_outstanding,sic_code,sic_description,homepage_url,type
WMT,Walmart Inc.,"Walmart serves as the preeminent retailer in the United States, with its strategy predicated on superior operating efficiency and offering the lowest priced goods to consumers to drive robust store traffic and product turnover. Walmart augmented its low-price business strategy by offering a convenient one-stop shopping destination with the opening of its first supercenter in 1988.Today, Walmart operates over 4,600 stores in the United States (5,200 including Sam's Club) and over 10,000 locations globally. Walmart generated over $440 billion in domestic namesake sales in fiscal 2024, with Sam's Club contributing another $86 billion to the company's top line. Internationally, Walmart generated $115 billion in sales. The retailer serves around 240 million customers globally each week.",104169,BBG000BWXBC2,710879166197.079,8033386215.0,8033390000,5331.0,RETAIL-VARIETY STORES,https://stock.walmart.com,CS
JPM,JPMorgan Chase & Co.,"JPMorgan Chase is one of the largest and most complex financial institutions in the United States, with nearly $4.1 trillion in assets. It is organized into four major segments--consumer and community banking, corporate and investment banking, commercial banking, and asset and wealth management. JPMorgan operates, and is subject to regulation, in multiple countries.",19617,BBG000DMBXR2,663008736332.81,2845164727.0,2845170000,6021.0,NATIONAL COMMERCIAL BANKS,https://www.jpmorganchase.com,CS
V,VISA Inc.,"Visa is the largest payment processor in the world. In fiscal 2023, it processed almost $15 trillion in total volume. Visa operates in over 200 countries and processes transactions in over 160 currencies. Its systems are capable of processing over 65,000 transactions per second.",1403161,BBG000PSKYX7,662943209682.66,1929010998.0,1723360000,7389.0,"SERVICES-BUSINESS SERVICES, NEC",https://www.usa.visa.com,CS
MA,Mastercard Incorporated,"Mastercard is the second-largest payment processor in the world, having processed close to $10 trillion in volume during 2024. Mastercard operates in over 200 countries and processes transactions in over 150 currencies.",1141391,BBG000F1ZSQ2,494793323291.26,911708506.0,904890000,7389.0,"SERVICES-BUSINESS SERVICES, NEC",https://www.mastercard.com,CS
XOM,Exxon Mobil Corporation,"ExxonMobil is an integrated oil and gas company that explores for, produces, and refines oil worldwide. In 2023, it produced 2.4 million barrels of liquids and 7.7 billion cubic feet of natural gas per day. At the end of 2023, reserves were 16.9 billion barrels of oil equivalent, 66% of which were liquids. The company is one of the world's largest refiners, with a total global refining capacity of 4.5 million barrels of oil per day, and is one of the world's largest manufacturers of commodity and specialty chemicals.",34088,BBG000GZQ728,485137918109.965,4339143313.0,4339140000,2911.0,PETROLEUM REFINING,https://www.exxonmobil.com,CS
UNH,UNITEDHEALTH GROUP INCORPORATED (Delaware),"UnitedHealth Group is one of the largest private health insurers, providing medical benefits to about 50 million members globally, including 1 million outside the us as June 2024. As a leader in employer-sponsored, self-directed, and government-backed insurance plans, UnitedHealth has obtained massive scale in managed care. Along with its insurance assets, UnitedHealth's continued investments in its Optum franchises have created a healthcare services colossus that spans everything from medical and pharmaceutical benefits to providing outpatient care and analytics to both affiliated and third-party customers.",731766,BBG000CH5208,454524881793.0,923418150.0,923420000,6324.0,HOSPITAL & MEDICAL SERVICE PLANS,https://www.unitedhealthgroup.com,CS
COST,Costco Wholesale Corp,"Costco operates a membership-based, no-frills retail model, predicated on offering a select product assortment in bulk quantities at bargain prices. The firm avoids maintaining costly product displays by keeping inventory on pallets and limits distribution expenses by storing its inventory at point of sale in the warehouse. Given Costco's frugal cost structure, the firm is able to price its merchandise below competing retailers, driving high sales volume per warehouse and allowing the retailer to generate strong profits on thin margins. Costco operates over 600 warehouses in the United States and boasts over 60% market share in the domestic warehouse club industry. Internationally, Costco operates another 280 warehouses, primarily in markets such as Canada, Mexico, Japan, and the UK.",909832,BBG000F6H8W8,418446264600.0,443730000.0,443900000,5331.0,RETAIL-VARIETY STORES,https://www.costco.com,CS
PG,Procter & Gamble Company,"Since its founding in 1837, Procter & Gamble has become one of the world's largest consumer product manufacturers, with annual sales approaching $85 billion. It operates with a lineup of leading brands, including more than 20 that generate north of $1 billion each in annual global sales, such as Tide laundry detergent, Charmin toilet paper, Pantene shampoo, and Pampers diapers. Sales outside its home turf represent more than half of the firm's consolidated total.",80424,BBG000BR2TH3,418180872508.76,2344851814.0,2344850000,2840.0,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",https://us.pg.com,CS
ORCL,Oracle Corp,"Oracle provides enterprise applications and infrastructure offerings around the world through a variety of flexible IT deployment models, including on-premises, cloud-based, and hybrid. Founded in 1977, Oracle pioneered the first commercial SQL-based relational database management system, which is commonly used for running online transaction processing and data warehousing workloads. Besides database systems, Oracle also sells enterprise resource planning, or ERP, customer relationship management, or CRM, and human capital management, or HCM, applications. Today, Oracle has more than 159,000 full-time employees in over 170 countries.",1341439,BBG000BQLTW7,415846942950.4,2796956000.0,2796960000,7372.0,SERVICES-PREPACKAGED SOFTWARE,https://www.oracle.com,CS
HD,"Home Depot, Inc.","Home Depot is the world's largest home improvement specialty retailer, operating more than 2,300 warehouse-format stores offering more than 30,000 products in store and 1 million products online in the US, Canada, and Mexico. Its stores offer building materials, home improvement products, lawn and garden products, and decor products and provide various services, including home improvement installation services and tool and equipment rentals. The acquisition of Interline Brands in 2015 allowed Home Depot to enter the MRO business, which has been expanded through the tie-up with HD Supply (2020). The additions of the Company Store brought textiles to the lineup, and the 2024 tie-up with SRS will help grow professional demand in roofing, pool and landscaping projects.",354950,BBG000BKZB36,379772460193.72,993362612.0,993360000,5211.0,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,https://www.homedepot.com,CS
ABBV,ABBVIE INC.,"AbbVie is a pharmaceutical firm with a strong exposure to immunology (with Humira, Skyrizi, and Rinvoq) and oncology (with Imbruvica and Venclexta). The company was spun off from Abbott in early 2013. The 2020 acquisition of Allergan added several new products and drugs in aesthetics (including Botox).",1551152,BBG0025Y4RY4,378297892735.11,1765354859.0,1765360000,2834.0,PHARMACEUTICAL PREPARATIONS,https://www.abbvie.com,CS
NFLX,NetFlix Inc,"Netflix's relatively simple business model involves only one business, its streaming service. It has the biggest television entertainment subscriber base in both the United States and the collective international market, with more than 300 million subscribers globally. Netflix has exposure to nearly the entire global population outside of China. The firm has traditionally avoided a regular slate of live programming or sports content, instead focusing on on-demand access to episodic television, movies, and documentaries. The firm introduced ad-supported subscription plans in 2022, giving the firm exposure to the advertising market in addition to the subscription fees that have historically accounted for nearly all its revenue.",1065280,BBG000CL9VN6,369432419415.0,427757100.0,427760000,7841.0,SERVICES-VIDEO TAPE RENTAL,https://www.netflix.com,CS
KO,Coca-Cola Company,"Founded in 1886, Atlanta-headquartered Coca-Cola is the world's largest nonalcoholic beverage company, with a strong portfolio of 200 brands covering key categories including carbonated soft drinks, water, sports, energy, juice, and coffee. Together with bottlers and distribution partners, the company sells finished beverage products bearing Coca-Cola and licensed brands through retailers and food-service locations in more than 200 countries and regions globally. Coca-Cola generates around two thirds of its total revenue overseas, with a significant portion from emerging economies in Latin America and Asia-Pacific.",21344,BBG000BMX289,313658195606.086,4301000395.0,4301000000,2080.0,BEVERAGES,https://www.coca-colacompany.com,CS
BAC,Bank of America Corporation,"Bank of America is one of the largest financial institutions in the United States, with more than $3.2 trillion in assets. It is organized into four major segments: consumer banking, global wealth and investment management, global banking, and global markets. Bank of America's consumer-facing lines of business include its network of branches and deposit-gathering operations, retail lending products, credit and debit cards, and small-business services. The company's Merrill Lynch operations provide brokerage and wealth-management services, as does its private bank. Wholesale lines of business include investment banking, corporate and commercial real estate lending, and capital markets operations. Bank of America has operations in several countries but is primarily US-focused.",70858,BBG000BCTLF6,306848728005.9,7604677274.0,7604680000,6021.0,NATIONAL COMMERCIAL BANKS,https://www.bankofamerica.com,CS
TMUS,"T-Mobile US, Inc.","Deutsche Telekom merged its T-Mobile USA unit with prepaid specialist MetroPCS in 2013, and that firm merged with Sprint in 2020, creating the second-largest wireless carrier in the us. T-Mobile now serves 77 million postpaid and 21 million prepaid phone customers, equal to around 30% of the us retail wireless market. The firm entered the fixed-wireless broadband market aggressively in 2021 and now serves more than 5 million residential and business customers. In addition, T-Mobile provides wholesale services to resellers.",1283699,BBG000NDV1D4,303515769314.92,1141744952.0,1141750000,4812.0,RADIOTELEPHONE COMMUNICATIONS,https://www.t-mobile.com,CS
CVX,Chevron Corporation,"Chevron is an integrated energy company with exploration, production, and refining operations worldwide. It is the second-largest oil company in the United States with production of 3.1 million of barrels of oil equivalent a day, including 7.7 million cubic feet a day of natural gas and 1.8 million of barrels of liquids a day. Production activities take place in North America, South America, Europe, Africa, Asia, and Australia. Its refineries are in the US and Asia for total refining capacity of 1.8 million barrels of oil a day. Proven reserves at year-end 2023 stood at 11.1 billion barrels of oil equivalent, including 6.0 billion barrels of liquids and 30.4 trillion cubic feet of natural gas.",93410,BBG000K4ND22,281220404315.01,1760598537.0,1760600000,2911.0,PETROLEUM REFINING,https://www.chevron.com,CS
ASML,ASML Holding NV,"ASML is the leader in photolithography systems used in the manufacturing of semiconductors. Photolithography is the process in which a light source is used to expose circuit patterns from a photo mask onto a semiconductor wafer. The latest technological advances in this segment allow chipmakers to continually increase the number of transistors on the same area of silicon, with lithography historically representing a high portion of the cost of making cutting-edge chips. ASML outsources the manufacturing of most of its parts, acting like an assembler. ASML's main clients are TSMC, Samsung, and Intel.",937966,,270103682552.55,393421721.0,399590000,,,https://www.asml.com,ADRC
CRM,"Salesforce, Inc.","Salesforce provides enterprise cloud computing solutions. The company offers customer relationship management technology that brings companies and customers together. Its Customer 360 platform helps the group to deliver a single source of truth, connecting customer data across systems, apps, and devices to help companies sell, service, market, and conduct commerce. It also offers Service Cloud for customer support, Marketing Cloud for digital marketing campaigns, Commerce Cloud as an e-commerce engine, the Salesforce Platform, which allows enterprises to build applications, and other solutions, such as MuleSoft for data integration.",1108524,BBG000BN2DC2,264284610000.0,961000000.0,961000000,7372.0,SERVICES-PREPACKAGED SOFTWARE,https://www.salesforce.com,CS
CSCO,"Cisco Systems, Inc. Common Stock (DE)","Cisco Systems is the largest provider of networking equipment in the world and one of the largest software companies in the world. Its largest businesses are selling networking hardware and software (where it has leading market shares) and cybersecurity software such as firewalls. It also has collaboration products, like its Webex suite, and observability tools. It primarily outsources its manufacturing to third parties and has a large sales and marketing staff-25,000 strong across 90 countries. Overall, Cisco employs 80,000 people and sells its products globally.",858877,BBG000C3J3C9,252287821979.7,3982758260.0,3982760000,3576.0,COMPUTER COMMUNICATIONS EQUIPMENT,https://www.cisco.com,CS
IBM,International Business Machines Corporation,"IBM looks to be a part of every aspect of an enterprise's IT needs. The company primarily sells software, IT services, consulting, and hardware. IBM operates in 175 countries and employs approximately 350,000 people. The company has a robust roster of 80,000 business partners to service 5,200 clients, which includes 95% of all Fortune 500. While IBM is a B2B company, IBM's outward impact is substantial. For example, IBM manages 90% of all credit card transactions globally and is responsible for 50% of all wireless connections in the world.",51143,BBG000BLNNH6,244624121413.12,924645152.0,924650000,3570.0,COMPUTER & OFFICE EQUIPMENT,http://www.ibm.com,CS
ABT,Abbott Laboratories,"Abbott manufactures and markets cardiovascular and diabetes devices, adult and pediatric nutritional products, diagnostic equipment and testing kits, and branded generic drugs. Products include pacemakers, implantable cardioverter defibrillators, neuromodulation devices, coronary stents, catheters, infant formula, nutritional liquids for adults, continuous glucose monitors, and immunoassays and point-of-care diagnostic equipment. Abbott derives approximately 60% of sales outside the United States.",1800,BBG000B9ZXB4,239015780886.965,1734323411.0,1734320000,2834.0,PHARMACEUTICAL PREPARATIONS,https://www.abbottinvestor.com,CS
AZN,AstraZeneca PLC,"A merger between Astra of Sweden and Zeneca Group of the United Kingdom formed AstraZeneca in 1999. The firm sells branded drugs across a number of major therapeutic areas, including gastrointestinal, diabetes, cardiovascular, respiratory, cancer, immunology and rare diseases. The majority of sales come from international markets with the United States representing close to one third of its sales.",901832,BBG000BZ0DK8,238446354612.06,3100329666.0,1550610000,,,https://www.astrazeneca.com,ADRC
PM,Philip Morris International Inc.,"Created from the international operations of Altria in 2008, Philip Morris International sells cigarettes and reduced-risk products, including heatsticks, vapes, and oral nicotine offerings primarily outside of the US. With the 2023 acquisition of Swedish Match, a leading manufacturer of traditional oral tobacco products and nicotine pouches primarily in the US and Scandinavia, PMI has not only diversified away from smokeable products but also gained a toehold into the US to sell its iQOS heated tobacco product.",1413329,BBG000J2XL74,234596857504.48,1554857221.0,1554860000,2111.0,CIGARETTES,https://www.pmi.com,CS
MCD,McDonald's Corporation,"McDonald's is the largest restaurant owner-operator in the world, with 2024 system sales of $131 billion across more than 43,000 stores and 115 markets. McDonald's pioneered the franchise model, building its footprint through partnerships with independent restaurant franchisees and master franchise partners around the globe. The firm earns roughly 60% of its revenue from franchise royalty fees and lease payments, with most of the remainder coming from company-operated stores across its three core segments: the United States, internationally operated markets, and international developmental/licensed markets.",63908,BBG000BNSZP1,231799771937.16,714461139.0,714460000,5812.0,RETAIL-EATING PLACES,https://corporate.mcdonalds.com,CS
WFC,Wells Fargo & Co.,"Wells Fargo is one of the largest banks in the United States, with approximately $1.9 trillion in balance sheet assets. The company has four primary segments: consumer banking, commercial banking, corporate and investment banking, and wealth and investment management. It is almost entirely focused on the US.",72971,BBG000BWQFY7,222281412943.2,3288186582.0,3288190000,6021.0,NATIONAL COMMERCIAL BANKS,https://www.wellsfargo.com,CS
LIN,Linde plc Ordinary Share,"Linde is the largest industrial gas supplier in the world, with operations in over 100 countries. The firm's main products are atmospheric gases (including oxygen, nitrogen, and argon) and process gases (including hydrogen, carbon dioxide, and helium), as well as equipment used in industrial gas production. Linde serves a wide variety of end markets, including chemicals, manufacturing, healthcare, and steelmaking. Linde generated approximately $33 billion in revenue in 2024.",1707925,,221734070331.66,472911618.0,472910000,2810.0,INDUSTRIAL INORGANIC CHEMICALS,https://www.linde.com,CS
PEP,"PepsiCo, Inc.","PepsiCo is a global leader in snacks and beverages, owning well-known household brands including Pepsi, Mountain Dew, Gatorade, Lay's, Cheetos, and Doritos, among others. The company dominates the global savory snacks market and also ranks as the second-largest beverage provider in the world (behind Coca-Cola) with diversified exposure to carbonated soft drinks, or CSD, as well as water, sports, and energy drink offerings. Convenience foods account for approximately 55% of its total revenue, with beverages making up the rest. Pepsi owns the bulk of its manufacturing and distribution capacity in the US and overseas. International markets make up 40% of total sales and one third of operating profits.",77476,BBG000DH7JK6,217158422877.0,1371989025.0,1371990000,2080.0,BEVERAGES,https://www.pepsico.com,CS
ACN,Accenture PLC,"Accenture is a leading global IT services firm that provides consulting, strategy, and technology and operational services. These services run the gamut from aiding enterprises with digital transformation to procurement services to software system integration. The company provides its IT offerings to a variety of sectors, including communications, media and technology, financial services, health and public services, consumer products, and resources. Accenture employs just under 500,000 people throughout 200 cities in 51 countries.",1467373,,210642878383.49,625479937.0,625480000,7389.0,"SERVICES-BUSINESS SERVICES, NEC",https://www.accenture.com,CS
GE,GE Aerospace,"GE Aerospace is the global leader in designing, manufacturing, and servicing large aircraft engines, along with partner Safran in their CFM joint venture. With its massive global installed base of nearly 70,000 commercial and military engines, GE Aerospace earns most of its profits on recurring service revenue of that equipment, which operates for decades. GE Aerospace is the remaining core business of the company formed in 1892 with historical ties to American inventor Thomas Edison; that company became a storied conglomerate with peak revenue of $130 billion in 2000 until GE spun off its appliance, finance, healthcare, and wind and power businesses between 2016 and 2024.",40545,BBG000BK6MB5,205567330422.65,1073290505.0,1073290000,3600.0,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),https://www.geaerospace.com,CS
TMO,"Thermo Fisher Scientific, Inc.","Thermo Fisher Scientific sells scientific instruments and laboratory equipment, diagnostics consumables, and life science reagents. The firm operates through four segments as of mid-2024 (revenue figures include some cross-segment revenue): analytical technologies (17% of sales); specialty diagnostic products (11%); life science solutions (22%); and lab products and services, which includes CRO services (54%).",97745,BBG000BVDLH9,199899382506.34,377261182.0,377260000,3829.0,"MEASURING & CONTROLLING DEVICES, NEC",https://www.thermofisher.com,CS
VZ,Verizon Communications,"Wireless services account for about 70% of Verizon Communications' total service revenue and nearly all of its operating income. The firm serves about 93 million postpaid and 20 million prepaid phone customers via its nationwide network, making it the largest US wireless carrier. Fixed-line telecom operations include local networks in the Northeast, which reach about 30 million homes and businesses and serve about 8 million broadband customers. Verizon also provides telecom services nationwide to enterprise customers, often using a mixture of its own and other carriers' networks. Verizon agreed to acquire Frontier Communications in September 2024.",732712,BBG000HS77T5,196782611516.71,4209703958.0,4209700000,4813.0,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),https://www.verizon.com,CS
T,AT&T Inc.,"The wireless business contributes about two thirds of AT&T's revenue. The firm is the third-largest US wireless carrier, connecting 72 million postpaid and 17 million prepaid phone customers. Fixed-line enterprise services, which account for about 16% of revenue, include internet access, private networking, security, voice, and wholesale network capacity. Residential fixed-line services, about 11% of revenue, primarily consist of broadband internet access, serving 14 million customers. AT&T also has a sizable presence in Mexico, with 22 million customers, but this business only accounts for 3% of revenue. The firm still holds a 70% equity stake in satellite television provider DirecTV but does not consolidate this business in its financial statements.",732717,BBG000BSJK37,193271800378.32,7170165104.0,7170170000,4813.0,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),https://www.att.com,CS
ADBE,Adobe Inc.,"Adobe provides content creation, document management, and digital marketing and advertising software and services to creative professionals and marketers for creating, managing, delivering, measuring, optimizing, and engaging with compelling content multiple operating systems, devices, and media. The company operates with three segments: digital media content creation, digital experience for marketing solutions, and publishing for legacy products (less than 5% of revenue).",796343,BBG000BB5006,190380670940.16,434897366.0,434900000,7372.0,SERVICES-PREPACKAGED SOFTWARE,https://www.adobe.com,CS
PLTR,Palantir Technologies Inc. Class A Common Stock,"Palantir is an analytical software company that focuses on leveraging data to create efficiencies in its clients' organizations. The firm serves commercial and government clients via its Foundry and Gotham platforms, respectively. Palantir works only with entities in Western-allied nations and reserves the right not to work with anyone that is antithetical to Western values. The Denver-based company was founded in 2003 and went public in 2020.",1321655,BBG000N7QR55,187956870390.84,2345356506.0,2248950000,7372.0,SERVICES-PREPACKAGED SOFTWARE,https://www.palantir.com,CS
AXP,American Express Company,"American Express is a global financial institution, operating in about 130 countries, that provides consumers and businesses charge and credit card payment products. The company also operates a highly profitable merchant payment network. Since 2018, it has operated in three segments: global consumer services, global commercial services, and global merchant and network services. In addition to payment products, the company's commercial business offers expense management tools, consulting services, and business loans.",4962,BBG000BCQZS4,187084301159.3,702532111.0,702530000,6199.0,FINANCE SERVICES,https://www.americanexpress.com,CS
DIS,The Walt Disney Company,"Disney operates in three global business segments: entertainment, sports, and experiences. Entertainment and experiences both benefit from the firm's ownership of iconic franchises and characters. Entertainment includes the ABC broadcast network, several cable television networks, and the Disney+ and Hulu streaming services. Within the segment, Disney also engages in movie and television production and distribution, with content licensed to movie theaters, other content providers, or, increasingly, kept in-house for use on Disney's own streaming platform and television networks. The sports segment houses ESPN and the ESPN+ streaming service. Experiences contains Disney's theme parks and vacation destinations, and also benefits from merchandise licensing.",1744489,BBG000BH4R78,186419187758.8,1807788865.0,1807790000,7990.0,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,https://www.thewaltdisneycompany.com,CS
MS,Morgan Stanley,"Morgan Stanley is a global investment bank whose history, through its legacy firms, can be traced back to 1924. The company has institutional securities, wealth management, and investment management segments with approximately 45% of net revenue from its institutional securities business, 45% from wealth management, and 10% from investment management. About 30% of its total revenue is from outside the Americas. The company had over $5 trillion of client assets as well as around 80,000 employees at the end of 2023.",895421,BBG000BLZRJ2,182680087835.025,1612855585.0,1612860000,6211.0,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",https://www.morganstanley.com,CS
AMGN,Amgen Inc,"Amgen is a leader in biotechnology-based human therapeutics. Flagship drugs include red blood cell boosters Epogen and Aranesp, immune system boosters Neupogen and Neulasta, and Enbrel and Otezla for inflammatory diseases. Amgen introduced its first cancer therapeutic, Vectibix, in 2006 and markets bone-strengthening drug Prolia/Xgeva (approved 2010) and Evenity (2019). The acquisition of Onyx bolstered the firm's therapeutic oncology portfolio with Kyprolis. Recent launches include Repatha (cholesterol-lowering), Aimovig (migraine), Lumakras (lung cancer), and Tezspire (asthma). The 2023 Horizon acquisition brings several rare-disease drugs, including thyroid eye disease drug Tepezza. Amgen also has a growing biosimilar portfolio.",318154,BBG000BBS2Y0,179788769197.25998,536434692.0,536440000,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",https://www.amgen.com,CS
ISRG,Intuitive Surgical Inc.,"Intuitive Surgical develops, produces, and markets a robotic system for assisting minimally invasive surgery. It also provides the instrumentation, disposable accessories, and warranty services for the system. The company has placed more than 9,500 da Vinci systems in hospitals worldwide, with more than 5,500 installations in the US and a growing number in emerging markets.",1035267,BBG000BJPDZ1,174738729657.34,356656964.0,356660000,3842.0,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",https://www.intuitive.com,CS
QCOM,Qualcomm Inc,"Qualcomm develops and licenses wireless technology and designs chips for smartphones. The company's key patents revolve around CDMA and OFDMA technologies, which are standards in wireless communications that are the backbone of all 3G, 4G, and 5G networks. Qualcomm's IP is licensed by virtually all wireless device makers. The firm is also the world's largest wireless chip vendor, supplying nearly every premier handset maker with leading-edge processors. Qualcomm also sells RF-front end modules into smartphones, as well as chips into automotive and Internet of Things markets.",804328,BBG000CGC1X8,174333250000.0,1106000000.0,1106000000,3663.0,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,https://www.qualcomm.com,CS
