ticker,name,description,cik,composite_figi,market_cap,weighted_shares_outstanding,share_class_shares_outstanding,sic_code,sic_description,homepage_url,type
ADSK,Autodesk Inc,"Founded in 1982, Autodesk is an application software company that serves industries in architecture, engineering, and construction; product design and manufacturing; and media and entertainment. Autodesk software enables design, modeling, and rendering needs of these industries. The company has over 4 million paid subscribers across 180 countries.",0000769397,BBG000BM7HL0,53505600000.0,213000000.0,215000000,7372,SERVICES-PREPACKAGED SOFTWARE,https://www.autodesk.com,CS
ROST,Ross Stores Inc,"Ross Stores operates as an off-price apparel and accessories retailer with the majority of its sales derived from its Ross Dress for Less banner. The company opportunistically procures excess brand-name merchandise made available via manufacturing overruns and retail liquidation sales at a 20%-60% discount to full prices. As such, its stores are often filled with a vast array of stock-keeping units, each with minimal product depth that creates a treasure hunt shopping experience. The firm's more than 1,750 Ross Dress for Less stores are primarily located in densely populated suburban communities and typically serve middle-income consumers. Ross also operates about 350 DD's Discounts chains targeting lower-income shoppers.",0000745732,BBG000BSBZH7,44126050523.568,329929197.0,329930000,5651,RETAIL-FAMILY CLOTHING STORES,https://www.rossstores.com,CS
MNST,Monster Beverage Corporation,"Monster Beverage is a leader in the energy drink subsegment of the nonalcoholic beverage market, generating two thirds of revenue in the US and Canada. The well-known Monster trademark includes brands such as Monster Energy, Monster Ultra, Java Monster, and Juice Monster. The firm also owns other energy drink brands, such as Reign, NOS, Burn, Bang and Mother, and brews and distributes beers and flavored malt beverages following the acquisition of a craft brewer in 2022. Monster controls branding and innovation but outsources beverage manufacturing and packaging to copackers and finished goods distribution to bottlers in the global Coca-Cola system (pursuant to a 20-year agreement inked in 2015). Coke is the largest shareholder of Monster with a 19.5% stake.",0000865752,BBG008NVB1C0,54885078000.0,972450000.0,979540000,2086,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,https://www.monsterbevcorp.com,CS
MSFT,Microsoft Corp,,0000789019,BBG000BPH459,,,7433040000,7372,SERVICES-PREPACKAGED SOFTWARE,,CS
ADBE,Adobe Inc.,"Adobe provides content creation, document management, and digital marketing and advertising software and services to creative professionals and marketers for creating, managing, delivering, measuring, optimizing, and engaging with compelling content multiple operating systems, devices, and media. The company operates with three segments: digital media content creation, digital experience for marketing solutions, and publishing for legacy products (less than 5% of revenue).",0000796343,BBG000BB5006,190380670940.16,434897366.0,434900000,7372,SERVICES-PREPACKAGED SOFTWARE,https://www.adobe.com,CS
FAST,Fastenal Co,"Fastenal opened its first fastener store in 1967 in Winona, Minnesota. Since then, it has greatly expanded its footprint as well as its products and services. Today, Fastenal serves its 400,000 active customers through approximately 1,600 branches, over 2,000 on-site locations, and 15 distribution centers. Since 1993, the company has added other product categories, but fasteners remain its largest category at about 30%-35% of sales. Fastenal also offers customers supply chain solutions, such as vending and vendor-managed inventory.",0000815556,BBG000BJ8YN7,47097539992.82,573451114.0,573450000,5200,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",https://www.fastenal.com,CS
EA,Electronic Arts Inc,"Electronic Arts is one of the largest global developers and publishers of video games. Its most important franchises are the Madden NFL and FC soccer games, which it releases annually. In 2024, it also relaunched its American college football game. Other major franchises include Apex Legends, Battlefield, and The Sims. Typically, about three quarters of the firm's sales are from in-game spending, with the remainder coming from initial game sales.",0000712515,BBG000BP0KQ8,37119763913.42,260617594.0,260620000,7372,SERVICES-PREPACKAGED SOFTWARE,https://www.ea.com,CS
CSCO,"Cisco Systems, Inc. Common Stock (DE)","Cisco Systems is the largest provider of networking equipment in the world and one of the largest software companies in the world. Its largest businesses are selling networking hardware and software (where it has leading market shares) and cybersecurity software such as firewalls. It also has collaboration products, like its Webex suite, and observability tools. It primarily outsources its manufacturing to third parties and has a large sales and marketing staff-25,000 strong across 90 countries. Overall, Cisco employs 80,000 people and sells its products globally.",0000858877,BBG000C3J3C9,252287821979.69998,3982758260.0,3982760000,3576,COMPUTER COMMUNICATIONS EQUIPMENT,https://www.cisco.com,CS
REGN,Regeneron Pharmaceuticals Inc,"Regeneron Pharmaceuticals Inc discovers, develops, and commercializes products that fight eye disease, cardiovascular disease, cancer, and inflammation. The company has several marketed products, including low-dose Eylea and Eylea HD, approved for wet age-related macular degeneration and other eye diseases; Dupixent in immunology; Praluent for LDL cholesterol lowering; Libtayo in oncology; and Kevzara in rheumatoid arthritis. Regeneron is also developing monoclonal and bispecific antibodies with Sanofi, other collaborators, and independently, and has earlier-stage partnerships that bring new technology to the pipeline, including RNAi (Alnylam) and Crispr-based gene editing (Intellia).",0000872589,BBG000C734W3,81439235362.26,109324682.0,107510000,2834,PHARMACEUTICAL PREPARATIONS,https://www.regeneron.com,CS
IDXX,Idexx Laboratories Inc,"Idexx Laboratories primarily develops, manufactures, and distributes diagnostic products, equipment, and services for pets and livestock. Its key product lines include single-use canine and feline test kits that veterinarians can employ in the office, benchtop chemistry and hematology analyzers for test-panel analysis on-site, reference lab services, and tests to detect and manage disease in livestock. The firm also offers vet practice management software and consulting services to animal hospitals. Idexx gets close to 35% of its revenue from outside the United States.",0000874716,BBG000BLRT07,36240673907.130005,81328233.0,81330000,2835,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,https://www.idexx.com,CS
VRTX,Vertex Pharmaceuticals Inc,"Vertex Pharmaceuticals is a global biotechnology company that discovers and develops small-molecule drugs for the treatment of serious diseases. Its key drugs are Kalydeco, Orkambi, Symdeko, and Trikafta/Kaftrio for cystic fibrosis, where Vertex therapies remain the standard of care globally. Vertex has diversified its portfolio through Casgevy, a gene-editing therapy for beta thalassemia and sickle-cell disease. Additionally, Vertex is evaluating small-molecule inhibitors targeting acute and chronic pain using nonopioid treatments, and small-molecule inhibitors of APOL1-mediated kidney diseases. Vertex is also investigating cell therapies to deliver a potential functional cure for type 1 diabetes.",0000875320,BBG000C1S2X2,128189502604.8,256789869.0,256790000,2834,PHARMACEUTICAL PREPARATIONS,https://www.vrtx.com,CS
BIIB,Biogen Inc. Common Stock,"Biogen and Idec merged in 2003, combining forces to market Biogen's multiple sclerosis drug Avonex and Idec's cancer drug Rituxan. Today, Rituxan and next-generation antibody Gazyva (oncology) and Ocrevus (multiple sclerosis) are marketed via a collaboration with Roche. Biogen markets several multiple sclerosis drugs including Plegridy, Tysabri, Tecfidera, and Vumerity. Biogen's newer products include Spinraza (SMA, with partner Ionis), Leqembi (Alzheimers, with partner Eisai), Skyclarys (Friedreich's Ataxia, Reata), Zurzuvae (postpartum depression, Sage), and Qalsody (ALS, Ionis). Biogen has several drug candidates in phase 3 trials in neurology, immunology, and rare diseases.",0000875045,BBG000C17X76,22891576397.429996,146374937.0,146380000,2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",https://www.biogen.com,CS
ODFL,Old Dominion Freight Line,"Old Dominion Freight Line is the second-largest less-than-truckload carrier in the United States (following FedEx Freight), with more than 250 service centers and 11,000-plus tractors. It is one of the most disciplined and efficient providers in the trucking industry, and its profitability and capital returns are head and shoulders above its peers. Strategic initiatives revolve around boosting network density through market share gains and maintaining industry-leading service (including ultralow cargo claims) via steadfast infrastructure investment.",0000878927,BBG000CHSS88,38474910200.58,212545079.0,212550000,4213,TRUCKING (NO LOCAL),https://www.odfl.com,CS
QCOM,Qualcomm Inc,"Qualcomm develops and licenses wireless technology and designs chips for smartphones. The company's key patents revolve around CDMA and OFDMA technologies, which are standards in wireless communications that are the backbone of all 3G, 4G, and 5G networks. Qualcomm's IP is licensed by virtually all wireless device makers. The firm is also the world's largest wireless chip vendor, supplying nearly every premier handset maker with leading-edge processors. Qualcomm also sells RF-front end modules into smartphones, as well as chips into automotive and Internet of Things markets.",0000804328,BBG000CGC1X8,174333250000.0,1106000000.0,1106000000,3663,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,https://www.qualcomm.com,CS
GILD,Gilead Sciences Inc,"Gilead Sciences develops and markets therapies to treat life-threatening infectious diseases, with the core of its portfolio focused on HIV and hepatitis B and C. Gilead's acquisition of Pharmasset brought rights to hepatitis C drug Sovaldi, which is also part of newer combination regimens that remain standards of care. Gilead is also growing its presence in the oncology market via acquisitions, led by CAR-T cell therapy Yescarta/Tecartus (from Kite) and breast and bladder cancer therapy Trodelvy (from Immunomedics).",0000882095,BBG000CKGBP2,148756587105.9,1245346062.0,1245350000,2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",https://www.gilead.com,CS
SNPS,Synopsys Inc,"Synopsys is a provider of electronic design automation software and intellectual property products. EDA software automates and aids in the chip design process, enhancing design accuracy, productivity, and complexity in a full-flow end-to-end solution. Synopsys' comprehensive portfolio is benefiting from a convergence of semiconductor companies moving up the stack of technologies toward systems-like companies, and systems companies moving down-stack toward in-house chip design. The resulting expansion in EDA customers alongside secular digitalization of various end markets benefits EDA vendors like Synopsys.",0000883241,BBG000BSFRF3,67868163059.06,154620076.0,154620000,7372,SERVICES-PREPACKAGED SOFTWARE,https://www.synopsys.com,CS
SBUX,Starbucks Corp,"Starbucks is one of the most widely recognized restaurant brands in the world, operating more than 40,000 stores across more than 80 countries as of the end of fiscal 2024. The firm operates in three segments: North America, international markets, and channel development (grocery and ready-to-drink beverage). The coffee chain generates revenue from company-operated stores, royalties, sales of equipment and products to license partners, ready-to-drink beverages, packaged coffee sales, and single-serve products.",0000829224,BBG000CTQBF3,117182653101.28,1135931108.0,1133800000,5810,RETAIL-EATING & DRINKING PLACES,https://www.starbucks.com,CS
INTU,Intuit Inc,"Intuit serves small and midsize businesses with accounting software QuickBooks and online marketing platform Mailchimp. The company also operates retail tax filing tool TurboTax, personal finance platform Credit Karma, and a suite of professional tax offerings for accountants. Founded in the mid-1980s, Intuit enjoys a dominant market share for small business accounting and do-it-yourself tax filing in the US.",0000896878,BBG000BH5DV1,164077733420.0,279562000.0,279560000,7372,SERVICES-PREPACKAGED SOFTWARE,https://www.intuit.com,CS
MCHP,Microchip Technology Inc,"Microchip Technology became an independent company in 1989 when it was spun off from General Instrument. More than half of revenue comes from MCUs, which are used in a wide array of electronic devices from remote controls to garage door openers to power windows in autos. The company's strength lies in lower-end 8-bit MCUs that are suitable for a wider range of less technologically advanced devices, but the firm has expanded its presence in higher-end MCUs and analog chips as well.",0000827054,BBG000BHCP19,29528729780.0,536885996.0,536890000,3674,SEMICONDUCTORS & RELATED DEVICES,https://www.microchip.com,CS
ORLY,"O'Reilly Automotive, Inc.","O'Reilly is an aftermarket automotive parts retailer in the United States and Mexico with more than $16 billion in annual sales. The company operates over 6,000 domestic stores and serves both the do-it-yourself (about 50% of sales) and professional (47% of sales) end markets. Despite operating amid a highly fragmented industry, O'Reilly differentiates itself by providing quality service to its customers throughout the entirety of the vehicle diagnosis and purchasing process. Furthermore, the firm boasts an impressive hub-and-spoke distribution network designed to provide its localized store base with ample aftermarket part availability across a variety of vehicle makes and models.",0000898173,BBG000BGYWY6,76683542321.16,57382184.0,57730000,5531,RETAIL-AUTO & HOME SUPPLY STORES,https://www.oreillyauto.com,CS
COST,Costco Wholesale Corp,"Costco operates a membership-based, no-frills retail model, predicated on offering a select product assortment in bulk quantities at bargain prices. The firm avoids maintaining costly product displays by keeping inventory on pallets and limits distribution expenses by storing its inventory at point of sale in the warehouse. Given Costco's frugal cost structure, the firm is able to price its merchandise below competing retailers, driving high sales volume per warehouse and allowing the retailer to generate strong profits on thin margins. Costco operates over 600 warehouses in the United States and boasts over 60% market share in the domestic warehouse club industry. Internationally, Costco operates another 280 warehouses, primarily in markets such as Canada, Mexico, Japan, and the UK.",0000909832,BBG000F6H8W8,418446264600.0,443730000.0,443900000,5331,RETAIL-VARIETY STORES,https://www.costco.com,CS
CPRT,Copart Inc,"Based in Dallas, Copart operates an online salvage vehicle auction with operations in 11 countries across North America, Europe, and the Middle East, facilitating over 3.5 million transactions annually. The company utilizes its virtual bidding platform, VB3, to connect vehicle sellers with over 750,000 registered buyers around the world. Buyers primarily consist of vehicle dismantlers, rebuilders, individuals and used vehicle retailers. About 80% of Copart's vehicle volume is supplied by auto insurance companies holding vehicles deemed a total loss. Copart also offers services such as vehicle transportation, storage, title transfer, and salvage value estimation. The company primarily operates on a consignment basis and collects fees based on the vehicle's final selling price.",0000900075,BBG000BM9RH1,51492754554.799995,966092956.0,966090000,5500,RETAIL-AUTO DEALERS & GASOLINE STATIONS,https://www.copart.com,CS
ASML,ASML Holding NV,"ASML is the leader in photolithography systems used in the manufacturing of semiconductors. Photolithography is the process in which a light source is used to expose circuit patterns from a photo mask onto a semiconductor wafer. The latest technological advances in this segment allow chipmakers to continually increase the number of transistors on the same area of silicon, with lithography historically representing a high portion of the cost of making cutting-edge chips. ASML outsources the manufacturing of most of its parts, acting like an assembler. ASML's main clients are TSMC, Samsung, and Intel.",0000937966,,270103682552.55,393421721.0,399590000,,,https://www.asml.com,ADRC
ANSS,Ansys Inc,"Ansys is an engineering software company that provides simulation capabilities for structural, fluids, semiconductor power, embedded software, optical, and electromagnetic properties. Ansys employs over 4,000 people and serves over 50,000 customers globally, including those in aerospace defense and automotive.",0001013462,BBG000GXZ4W7,28015873402.615,87299981.0,87300000,7372,SERVICES-PREPACKAGED SOFTWARE,https://www.ansys.com,CS
TTWO,Take-Two Interactive Software Inc,"Found in 1993, Take-Two consists of three wholly owned labels, Rockstar Games, 2K, and Zynga. The firm is one of the world's largest independent video game publishers on consoles, PCs, smartphones, and tablets. Take-Two's franchise portfolio is headlined by Grand Theft Auto and contains other well-known titles such as NBA 2K, Civilization, Borderlands, Bioshock, and Xcom. Zynga mobile titles include Farmville, Empires & Puzzles, and CSR Racing.",0000946581,BBG000BS1YV5,35061958637.95,175003537.0,175000000,7372,SERVICES-PREPACKAGED SOFTWARE,https://www.take2games.com,CS
AMZN,Amazon.Com Inc,"Amazon is the leading online retailer and marketplace for third party sellers. Retail related revenue represents approximately 75% of total, followed by Amazon Web Services' cloud computing, storage, database, and other offerings (15%), advertising services (5% to 10%), and other the remainder. International segments constitute 25% to 30% of Amazon's non-AWS sales, led by Germany, the United Kingdom, and Japan.",0001018724,BBG000BVPV84,2033789044483.616,10597729352.0,10597730000,5961,RETAIL-CATALOG & MAIL-ORDER HOUSES,https://www.amazon.com,CS
MSTR,MicroStrategy Inc,"Strategy is a bitcoin treasury company and a provider of business intelligence services. It is designed to provide investors varying degrees of economic exposure to Bitcoin by offering a range of securities, including equity and fixed-income instruments. The company also provide industry AI-powered enterprise analytics software.",0001050446,BBG000GQJPZ0,66289155548.875,260286250.0,238540000,6199,FINANCE SERVICES,https://www.strategy.com,CS
CTSH,Cognizant Technology Solutions,"Cognizant is a global IT services provider, offering consulting and outsourcing services to some of the world's largest enterprises spanning the financial services, media and communications, healthcare, natural resources, and consumer products industries. Cognizant employs nearly 350,000 people globally, roughly 70% of whom are in India, although the company's headquarters are in Teaneck, New Jersey.",0001058290,BBG000BBDV81,42502311118.020004,494615514.0,494620000,7371,SERVICES-COMPUTER PROGRAMMING SERVICES,https://www.cognizant.com,CS
CSGP,CoStar Group Inc,"CoStar Group is a leading provider of commercial real estate data and marketplace listing platforms. Its data offering contains in-depth analytical information on over 5 million commercial real estate properties related to various subsectors including office, retail, hotels, multifamily, healthcare, industrial, self-storage, and data centers. It operates many flagship brands such as CoStar Suite, LoopNet, Apartments.com, BizBuySell, and Lands of America, with more than 80% of its revenue classified as subscription-based. The company recently expanded its presence in Canada, the United Kingdom, Spain, and France.",0001057352,BBG000D7JKW9,35008417146.755,421762751.0,421760000,7389,"SERVICES-BUSINESS SERVICES, NEC",https://www.costargroup.com,CS
NVDA,Nvidia Corp,"Nvidia Corp is an upfront developer of graphics processing unit and a full-stack computing infrastructure company with data-center-scale offerings that are reshaping industry. Traditionally, GPU were used to enhanvce experience,now Nvidia offers AI GPUs, and also a software platform, Cuda, used for AI model development and training. The company is also expanding its data center networking solutions, helping to tie GPUs together to handle complex workloads. such as AI, model training and inference, data analytics, scientific computing, and 3D graphics, with vertical-specific optimizations to address industries ranging from healthcare and telecom to automotive and manufacturing.",0001045810,BBG000BBJQV0,2630442000000.0,24400000000.0,24400000000,3674,SEMICONDUCTORS & RELATED DEVICES,https://www.nvidia.com,CS
BKNG,Booking Holdings Inc. Common Stock,"Booking is the world's largest online travel agency by sales, offering booking and payment services for hotel and alternative accommodation rooms, airline tickets, rental cars, restaurant reservations, cruises, experiences, and other vacation packages. The company operates several branded travel booking sites, including Booking.com, Agoda, OpenTable, Rentalcars.com, Kayak, and Momondo. Transaction fees for online bookings account for the bulk of revenue and profits.",0001075531,BBG000BLBVN4,147149596172.18997,32815201.0,32820000,4700,TRANSPORTATION SERVICES,https://www.bookingholdings.com,CS
ON,ON Semiconductor Corp,"Onsemi is a supplier of power semiconductors and sensors focused on the automotive and industrial markets. Onsemi is the second-largest power chipmaker in the world and the largest supplier of image sensors to the automotive market. While the firm used to be highly vertically integrated, it now pursues a hybrid manufacturing strategy for flexible capacity. Onsemi is pivoting to focus on emerging applications like electric vehicles, autonomous vehicles, industrial automation, and renewable energy.",0001097864,BBG000DV7MX4,18746918834.595,421421127.0,421420000,3674,SEMICONDUCTORS & RELATED DEVICES,https://www.onsemi.com,CS
ISRG,Intuitive Surgical Inc.,"Intuitive Surgical develops, produces, and markets a robotic system for assisting minimally invasive surgery. It also provides the instrumentation, disposable accessories, and warranty services for the system. The company has placed more than 9,500 da Vinci systems in hospitals worldwide, with more than 5,500 installations in the US and a growing number in emerging markets.",0001035267,BBG000BJPDZ1,174738729657.34,356656964.0,356660000,3842,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",https://www.intuitive.com,CS
MRVL,"Marvell Technology, Inc. Common Stock","Marvell Technology is a fabless chip designer focused on wired networking, where it has the second-highest market share. Marvell serves the data center, carrier, enterprise, automotive, and consumer end markets with processors, optical and copper transceivers, switches, and storage controllers.",0001835632,BBG00ZXBJ153,56772333000.0,865300000.0,865300000,3674,SEMICONDUCTORS & RELATED DEVICES,https://www.marvell.com,CS
ADI,"Analog Devices, Inc.","Analog Devices is a leading analog, mixed-signal, and digital-signal processing chipmaker. The firm has a significant market share lead in converter chips, which are used to translate analog signals to digital and vice versa. The company serves tens of thousands of customers; more than half of its chip sales are to industrial and automotive end markets. ADI's chips are also incorporated into wireless infrastructure equipment.",0000006281,BBG000BB6G37,107621937046.17,495976483.0,495980000,3674,SEMICONDUCTORS & RELATED DEVICES,https://www.analog.com,CS
AEP,"American Electric Power Company, Inc.","American Electric Power is one of the largest regulated utilities in the United States, providing electricity generation, transmission, and distribution to more than 5 million customers in 11 states. About 42% of AEP's of capacity is coal, with the remainder from a mix of natural gas (27%), renewable energy and hydro (21%), nuclear (8%), and demand response (2%). Vertically integrated utilities, transmission and distribution, and generation and marketing support earnings.",0000004904,BBG000BB9KF2,57725372194.32,533210532.0,533210000,4911,ELECTRIC SERVICES,https://www.aep.com,CS
AMD,Advanced Micro Devices,"Advanced Micro Devices designs a variety of digital semiconductors for markets such as PCs, gaming consoles, data centers, industrial, and automotive applications. AMD's traditional strength was in central processing units and graphics processing units used in PCs and data centers. Additionally, the firm supplies the chips found in prominent game consoles such as the Sony PlayStation and Microsoft Xbox. In 2022, the firm acquired field-programmable gate array leader Xilinx to diversify its business and augment its opportunities in key end markets such as data center and automotive.",0000002488,BBG000BBQCY0,158797441503.8204,1620477962.0,1620480000,3674,SEMICONDUCTORS & RELATED DEVICES,https://www.amd.com,CS
ADP,Automatic Data Processing,"Automatic Data Processing is a global technology company providing cloud-based human capital management solutions enabling clients to better implement payroll, talent, time, tax, and benefits administration. Additionally, ADP provides human resource outsourcing solutions that allow customers to offload some of their traditional HR tasks. The company operates through two segments: employer services and the professional employer organization services. Employer services consists of the company's HCM products as well as a la carte HRO solutions. PEO services contains ADP's comprehensive HRO solution where it acts as a co-employer with its customer. As of fiscal 2024, ADP serves over 1.1 million clients and pays over 42 million workers across 140 countries.",0000008670,BBG000JG0547,125301994562.745,406870893.0,406870000,7374,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,https://www.adp.com,CS
AZN,AstraZeneca PLC,"A merger between Astra of Sweden and Zeneca Group of the United Kingdom formed AstraZeneca in 1999. The firm sells branded drugs across a number of major therapeutic areas, including gastrointestinal, diabetes, cardiovascular, respiratory, cancer, immunology and rare diseases. The majority of sales come from international markets with the United States representing close to one third of its sales.",0000901832,BBG000BZ0DK8,238446354612.06,3100329666.0,1550610000,,,https://www.astrazeneca.com,ADRC
CDNS,Cadence Design Systems,"Cadence Design Systems is a provider of electronic design automation software, intellectual property, and system design and analysis products. EDA software automates the chip design process, enhancing design accuracy, productivity, and complexity in a full-flow end-to-end solution. Cadence offers a portfolio of design IP, as well as system design and analysis products, which enable system-level analysis and verification solutions. Cadence's comprehensive portfolio is benefiting from a mutual convergence of semiconductor companies moving up-stack toward systems-like companies, and systems companies moving down-stack toward in-house semiconductor design. The resulting expansion in EDA customers, alongside secular digitalization of various end markets, benefits EDA vendors like Cadence.",0000813672,BBG000C13CD9,64635561210.0,274263000.0,274260000,7372,SERVICES-PREPACKAGED SOFTWARE,https://www.cadence.com,CS
CSX,CSX Corporation,,0000277948,BBG000BGJRC8,,,1938740000,4011,"RAILROADS, LINE-HAUL OPERATING",,CS
HON,"Honeywell International, Inc.","Honeywell traces its roots to 1885 with Albert Butz's firm, Butz Thermo-Electric Regulator, which produced a predecessor to the modern thermostat. Other inventions by Honeywell include biodegradable detergent and autopilot. Today, Honeywell is a global multi-industry behemoth with one of the largest installed bases of equipment. It operates through four business segments: aerospace technologies (37% of 2023 company revenue), industrial automation (29%), energy and sustainability solutions (17%), and building automation (17%). Recently, Honeywell has made several portfolio changes to focus on fewer end markets and align with a set of secular growth trends. The firm is working diligently to expand its installed base, deriving around 30% of its revenue from recurring aftermarket services.",0000773840,BBG000H556T9,141753735158.61002,649918551.0,650250000,3724,AIRCRAFT ENGINES & ENGINE PARTS,https://www.honeywell.com,CS
